apicalDistToApex	apicalRibbons_Cell	YuRibPct	YuRib1	YuRib2	X__from_Apex	Ribbons_Cell
322	10.5	96.129	9.8	7	1	7.17
843	15.09	92.2581	10		1.25878	9
2108	16	88.3871	10.8	9.3	1.7752	8
196	10.5	84.5161	10.4		1.83975	6.54
1707	15.58	80.6452	10.6	12	2.03341	7.08
589	11.09	76.7742	13.6		2.1141	9.5
300	11.23	72.9032	14.4		3	8.67
627	11.1	69.0323	18		2.43686	7.88
657	11.7	65.1613	17.6		2.453	
1379	15.6	61.2903	17.25		2	9.43
581	11.31	57.4194	17.14		2.82417	9.67
1594		53.5484	21.2	16	2.95328	10.3
282		49.6774	19	15.6	2	10.5
709		45.8065	20.03	18.4	3.16308	10.5
1170		41.9355	19.3	17.25	3.22763	
267	9.31	38.0645	19.6	16.5	3.51812	7.83
1194	16.23	34.1935	15		3	11.33
2430	14.4	30.3226	13.4	18	3.6795	6.75
817		26.4516	13.8	17.6	4.03454	10.46
500	9.75	22.5806	14.4	12.4	4.30888	9.31
929	12.36	18.7097	11.8		4.55096	
1238	11.79	14.8387	10	12	4.84144	11.23
1821	15.33	10.9677	8	12.6	5.19648	10.5
152		7.09677	9.6		5.2449	7.36364
78	9	3.22581	9	7.4	5	9.86
454	9.1				6.03567	10.17
2415	11.73				6	9.67
131	9.5				6.66505	12.67
876	10.56				8	11.86
1386	12.73				7.32672	9.1
1767	12.83				8.06907	9.75
2763	12.58				8.74687	9
175	9.67				8.8437	11.18
1464	13.23				8.90825	
126	7.08				9.08577	10.8
542	9				9	13.8
1024					9.37626	11.31
1524	12.27				9.42468	11.9
228	6.75				9.50537	11.09
548	11.18				10.1186	11.1
552					10.6028	11.7
1053					10	11.25
814					11.3774	11.6667
218	7.83				11.4419	
413	12.67				12.152	13.92
920	13.08				11	12.5
1509	15.88				12.2004	12.2
374	10.17				12	12.83
753	13.92				13.1364	
1464	15.6				13.1849	
250	10.46				13.6045	15.09
855	13.33				13.7981	13.33
2030	17.85				14.137	10.56
					17	12.71
114	6.54				14.8471	13.08
756	12.2				14.9923	12.36
1340	13.27				16.477	15.2
151	7.88				16.5255	
584	11.9				16.7191	11.625
1235	12.5				16.9935	
1586	15.23				17.2355	13.8
2305	15.92				17	16.57
2766	15.91				18.8332	12.08
200					18.8816	
1021	15.2				19.2689	16.23
1998					18	13.11
2648	15.73				19.9306	12.5
183	10.3				19.979	11.79
563	10.8				20.8989	15.625
1167	12.08				21.6251	13.27
1068	13.8				22.2545	15.6
1892	16.45				28	15.13
110	8				22.3675	12.73
325	7.36364				22	14.88
705	11.6667				22	15.14
1036	11.625				23.6262	13.23
1295	15.625				23.6262	15.6
1732	16.5714				23	16.67
					24.3525	15.88
					24.5945	12.27
					25.5951	15.23
					25.7242	
					27.5478	15.58
					27.9513	16.5714
					35	19.6
					28.5161	12.83
					27	15.25
					29.3876	15.33
					30.5334	16.45
					30	17.43
					30	16.33
					30	17.83
					39	16.33
					32.244	
					32.7604	17.85
					34.0192	16
					33	17
					44	16.43
					37.1984	15.92
					37	16.5
					47	14.33
					38	18.83
					38.9736	11.73
					39.2157	14.4
					37	13.71
					39	18
					53	15.83
					42.7338	15.73
					44.5897	12.58
					44.6381	15.91
					44	18
					45	15.33
					48	16.4
					48	
					47	16.63
					51	11.86
					66	13
					52	14.71
					79	13
					82	13
					85	11.67
					67	15
					90	10
					71	14.14
					92	8.6
					95	6
					75	14.86
					82	9.25
					82	12.14
					86	10.63
					94	7.2
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
